Comment,Designator,Footprint
Si2301 P chan,M1,SOT-23
100k,R11,C_0402_1005Metric
10k,R10,C_0402_1005Metric
1M,"R9,R8",C_0402_1005Metric
Si2302CDS-n-channel,TR1,SOT-23
Conn_01x02_Female,J5,PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left
PMEG3010ER,D1,D_SOD-123
1k,"R7,R5",C_0402_1005Metric
Jumper_NO_Small,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm
Conn_01x03_Female,J3,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left
10u,C4,C_0402_1005Metric
27p,"C2,C3",C_0402_1005Metric
100n,"C5,C6,C7,C14,C15,C16",C_0402_1005Metric
1u,"C8,C10",C_0402_1005Metric
4k7,"R6,R1",C_0402_1005Metric
47k,R15,C_0402_1005Metric
74LS245,"U9,U10",TSSOP-20_4.4x6.5mm_P0.65mm
RP2040,U3,RP2040-QFN-56-no_holes
ABLS-12.000MHZ-B4-T,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
Conn_01x04_Female,J4,OLED_SMALL
sw,"SW4,SW3,SW2,SW1",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816
SD_ebay-uSD-push_push_SMD,XS1,Conn_uSDcard
Conn_02x08_Odd_Even,J2,Psion_datapak_2x08_P2.54mm_Horizontal
USB_B_Micro,J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2
27,"R4,R3",C_0402_1005Metric
DNF,R2,C_0402_1005Metric
10u,C1,C_0805_2012Metric
